TOP 10 BEST MOVIES FROM 2014 - SORTED BY VOTES (HIGHEST FIRST)
Rank,Title,Year,Rating,Votes,Genres
1,Interstellar,2014,8.462,38220,"Adventure, Drama, Science Fiction"
2,The Imitation Game,2014,7.99,17622,"History, Drama, Thriller, War"
3,Whiplash,2014,8.375,16041,"Drama, Music"
4,The Grand Budapest Hotel,2014,8.034,15522,"Comedy, Drama"
5,Mommy,2014,8.216,2790,Drama
6,Song of the Sea,2014,7.999,1512,"Family, Animation, Fantasy"
7,The Salt of the Earth,2014,8.12,648,Documentary
8,My Little Pony - Equestria Girls - Rainbow Rocks,2014,8.042,191,"Family, Animation, Music"
9,One Direction: Where We Are - The Concert Film,2014,8.4,168,"Music, Documentary"
10,The Legend of the Guanajuato Mummies,2014,7.974,151,"Animation, Horror, Adventure, Comedy, Family"

TOP 10 BEST MOVIES FROM 2014 - SORTED BY NAME (FULL TITLE)
Rank,Title,Year,Rating,Votes,Genres
1,Interstellar,2014,8.462,38220,"Adventure, Drama, Science Fiction"
2,Mommy,2014,8.216,2790,Drama
3,My Little Pony - Equestria Girls - Rainbow Rocks,2014,8.042,191,"Family, Animation, Music"
4,One Direction: Where We Are - The Concert Film,2014,8.4,168,"Music, Documentary"
5,Song of the Sea,2014,7.999,1512,"Family, Animation, Fantasy"
6,The Grand Budapest Hotel,2014,8.034,15522,"Comedy, Drama"
7,The Imitation Game,2014,7.99,17622,"History, Drama, Thriller, War"
8,The Legend of the Guanajuato Mummies,2014,7.974,151,"Animation, Horror, Adventure, Comedy, Family"
9,The Salt of the Earth,2014,8.12,648,Documentary
10,Whiplash,2014,8.375,16041,"Drama, Music"

"TOP 10 BEST MOVIES FROM 2014 - SORTED BY NAME (IGNORING A, AN, THE)"
Rank,Title,Sortable Title,Year,Rating,Votes,Genres
1,The Grand Budapest Hotel,Grand Budapest Hotel,2014,8.034,15522,"Comedy, Drama"
2,The Imitation Game,Imitation Game,2014,7.99,17622,"History, Drama, Thriller, War"
3,Interstellar,Interstellar,2014,8.462,38220,"Adventure, Drama, Science Fiction"
4,The Legend of the Guanajuato Mummies,Legend of the Guanajuato Mummies,2014,7.974,151,"Animation, Horror, Adventure, Comedy, Family"
5,Mommy,Mommy,2014,8.216,2790,Drama
6,My Little Pony - Equestria Girls - Rainbow Rocks,My Little Pony - Equestria Girls - Rainbow Rocks,2014,8.042,191,"Family, Animation, Music"
7,One Direction: Where We Are - The Concert Film,One Direction: Where We Are - The Concert Film,2014,8.4,168,"Music, Documentary"
8,The Salt of the Earth,Salt of the Earth,2014,8.12,648,Documentary
9,Song of the Sea,Song of the Sea,2014,7.999,1512,"Family, Animation, Fantasy"
10,Whiplash,Whiplash,2014,8.375,16041,"Drama, Music"
